Incident_ID;Weapon_Type;Weapon_Caliber;Weapon_Details
20240326GATUA;Handgun;;
20240326MOCHC;Handgun;;
20240326NJWEN;Handgun;;Modified for full auto fire
20240325HIWAW;Handgun;;
20240321NJMAN;Handgun;;
20240321CADIP;Handgun;;
20240320NCPEP;Handgun;;
20240320CONOD;;;
20240320OHBOC;Handgun;;Glock with switch
20240320ILBUC;Handgun;;
20240319DETHW;Handgun;;
20240316TNKEC;Handgun;;
20240314OHLOD;Handgun;;
20240313MDFOG;Handgun;;
20240313WAGAS;Handgun;;
20240313MDWIB;Handgun;;
20240311TXCHT;Handgun;;
20240311MASPS;Handgun;;
20240307NYPSB;Handgun;;
20240305INHAL;Handgun;;
20240304TNBRB;Handgun;;
20240302INROR;Multiple Handguns;;Two loaded handguns in backpack
20240302MONOK;Handgun;;
20240301LACAC;Handgun;;
20240229FLFIJ;Handgun;;
20240228NCWAG;Handgun;;
20240228MEWAW;Handgun;;
20240227DESUG;Handgun;;
20240226TXODO;Handgun;;
20240223WVBLB;Handgun;;
20240221TXTRA;Handgun;;
20240221CODED;Handgun;;
20240221TXECE;Handgun;Service Weapon;
20240221AZCAT;;;
20240220ALPEP;Handgun;;
20240220MISAS;Handgun;;
20240219TXPIM;Handgun;.38 caliber;38 special revolver
20240215FLSHC;Other;BB;Air rifle
20240215FLSHC;Other;Pellet;Air rifle
20240214GABEA;;;
20240213TNRAM;Handgun;;
20240212OHBEB;Handgun;;
20240212IDCOI;;;
20240212IDCOI;;;
20240212CAELC;;;
20240211CAMAB;;;
20240209PACOR;Handgun;;
20240209GATRE;Handgun;;
20240208MDBEB;Handgun;;
20240208TNMEN;Handgun;;
20240207ORWIE;;;
2024207TXKUH;;;
20240206TNNOC;;;
20240205GALUA;Handgun;;
20240202AZLAA;Handgun;;
20240201TNHAN;Handgun;;
20240201GAMCP;Handgun;;
20240131CADUD;Other;Pellet;Gel pellet
20240131ILCHC;Multiple Handguns;;
20240130TNBLM;Handgun;;
20240130TNBLM;Handgun;;
20240130INBEB;Handgun;;
20240130CAGRS;Handgun;;
20240130ALLEM;Handgun;;
20240129TXCOA;Handgun;;
20240129TXCOA;Rifle;AK-47;
20240126ILINC;Handgun;;
20240126ALHUH;Handgun;;
20240124TNWEM;Handgun;;
20240122ILCIC;Rifle;;
20240122ILCIC;Handgun;;
20240118MNCOS;Handgun;;carrying a handgun on his body, unholstered
20240117VAWED;Handgun;;
20240117INLIG;Handgun;;
20240117MDCHE;Handgun;;
20240113INLAF;Handgun;;
20240112OKHEO;Handgun;;
20240112OHROD;Handgun;;
20240111FLNOM;Handgun;;
20240111LABOB;Handgun;;
20240110WAWHW;Rifle;;
20240109TXACH;Handgun;;
20240108MSSIS;Handgun;;
20240108CARIR;;;
20240104IAPEP;Handgun;.22 caliber;
20240104IAPEP;Shotgun;;Birdshot load
20240103TNFRM;;;
20240103VAMAM;Handgun;;
20240101LABAM;Rifle;.223 caliber;AR-15
20240101LABAM;Handgun;9mm;
20231226RIEME;Handgun;;
20231220TXEAF;Handgun;;
20231220NJKIN;Handgun;;
20231219TXCYK;Handgun;;
20231218VAORC;Other;BB;
20231218INEGH;Handgun;Service Weapon;SROs gun fired by student
20231208MONOS;Handgun;;
20231215CAPAP;Handgun;;
20231215TNLEN;Handgun;;
20231213MIDED;Handgun;;
20231212MICOK;Handgun;;
20231211NYROQ;Handgun;;
20231208NMATA;Handgun;;
20231208VAWOW;Other;BB;
20231208WIBUW;Handgun;;
20231206INLAL;Handgun;;Glock with switch
20231205NCVAH;;;
20231205TXNOA;Handgun;;
20231202VADRA;Handgun;;
20231201OHBUA;Other;Pellet;Replica rifle loaded with real .223 ammo
20231201OHNOC;Handgun;;
20231201DCKIW;Handgun;;
20231130TXBUH;Handgun;;
20231129OHMAT;Handgun;;
20231128TXNOH;Handgun;;
20231126OHEDD;Handgun;;
20231123OHSOC;Handgun;;
20231119ILURU;Handgun;;
20231117LAACL;Handgun;;
20231116CALAW;Other;Pellet;Replica semi-auto rifle
20231116OHSTC;Handgun;;
2023114ILMAP;;;
20231114MILID;Handgun;;
2023113KYJEL;Other;Pellet;
20231113NJCEN;Handgun;;
20231110CAVAV;Handgun;;
20231109NVLAL;Handgun;;
20231109ALESA;Handgun;;
20231108CTLIN;Handgun;;
20231103INKII;Handgun;;
20231102NCFRM;Multiple Handguns;;
20231102OHWAL;Handgun;;
20231102ALSMS;Handgun;9mm;
20231031NVCOL;Handgun;;
20231030NCRAR;Handgun;;
20231027TXDUS;Handgun;Service Weapon;
20231027LADOD;Handgun;;
20231027MDCAB;Handgun;;
20231027MDCAB;Handgun;;
20231027MIDED;Handgun;;
20231026CALEL;Handgun;Service Weapon;
20231026VTMOM;;;
20231026FLNFJ;Handgun;;
20231024MDEDW;Handgun;;
20231023WIKEG;Handgun;;
20231020FLLIT;Other;Airsoft;Replica AR-15
20231020FLFAT;Handgun;;
20231019WAEVV;Handgun;;
20231019ILMAC;Handgun;;
20231019TXNAA;Handgun;;
20231019CAGRF;Handgun;;
20231018WILUW;Handgun;;
20231015OHEAT;Handgun;;
20231015MOKIK;Handgun;;
20231015TXFRD;Handgun;;
20231013FLBOS;Handgun;;
20231013OHCLC;Handgun;;
20231011CAMAL;Handgun;;
20231011FLMIM;Handgun;;
20231011TXSEF;Handgun;;
20231010MOBAS;Handgun;;
20231010NCTEF;Handgun;;
20231010SCDAD;Handgun;;
20231008ILTHD;Handgun;;
20231006MIOAO;Handgun;;
20231006LATHT;Handgun;;
20231004PAMIE;Handgun;9mm;Glock
20231004COROD;Handgun;;
20231004WAGAS;Handgun;;
20231004GASAS;Handgun;;
20231002CAALL;Handgun;;
20231002AZALP;;;
20230930GAGRG;Handgun;;
20230929AKWAW;Rifle;.30-06;
20230929NCDUG;Handgun;;
20230928MDEDE;Handgun;;
20230928GAROC;Handgun;;Hidden in chromebook case
20230925DCSTW;;;
20230925MDDUB;Handgun;;
20230925MDGIB;Handgun;;
20230923OHMAC;Handgun;;
20230922IAOTO;Handgun;;
20230922KYMAL;Handgun;;
20230922TNWEM;Handgun;;
20230922TNSWS;Handgun;;
20230922WIMIM;Handgun;;
20230920ILVOC;;;
20230919TXKEB;Other;BB;
20230919FLWOP;;;
20230919DCROW;;;
20230918MDDUB;Handgun;;
20230916OHEAC;Handgun;;
20230915ILHIC;Handgun;;
20230915KSWYK;Handgun;;
20230915MDJAB;Handgun;;
20230914ILBOU;Multiple Handguns;;2 glocks with laser sights and drum magazines
20230913GALAA;Handgun;;
20230913DCLIW;Handgun;;
20230912WAEIY;;;
20230912LASTG;Handgun;;
20230911MDDUL;Handgun;;
20230911ARPRN;Handgun;;
20230909NYPRU;Handgun;;
20230908NCLUL;Handgun;;
20230906FLANT;Handgun;;
20230905CASKO;Handgun;;
20230901TNMEM;Handgun;;
20230901MDDUB;Handgun;;
20230901ILMOC;Handgun;;
20230901LAPOP;Handgun;;
20230831KSWEW;Other;Pellet;
20230831MSBRB;Rifle;.22 caliber;
20230831WANOD;Multiple Handguns;;
20230829NVCLL;;;
20230826CAFAF;Handgun;;
20230825MSOBG;Multiple Unknown;;
20230825CADRL;;;
20230825OKBOT;Handgun;;
20230825SCGEG;Handgun;;
20230825OKCHC;Handgun;;
20230824NMRAT;;;
20230824VAWAP;;;
20230824VAKEV;;;
20230824AZPHP;Other;BB;
20230822OKSTS;Handgun;;
20230822TNSTC;Handgun;;
20230822TXJES;Handgun;.25 caliber;
20230818GANOK;Handgun;;
20230818CAETR;Handgun;;
20230818GAJOJ;Handgun;;
20230818MSPAP;Handgun;;
20230818FLFIJ;Handgun;;
20230816GAJOA;Handgun;;
20230813NEWON;Handgun;;
20230812MSSTS;Handgun;;
20230810TNCOM;Handgun;;
20230808ILBOC;;;
20230807WAHIS;Handgun;;
20230731TNMAM;Handgun;;
20230726DCMAW;Handgun;;
20230725TNFRM;;;
20230725NCJUC;Handgun;;
20230724PAJOH;Handgun;;
20230718NYFRB;Handgun;;
20230716GALOH;Handgun;;
20230714NYKIT;Handgun;;
20230714TXJAS;Handgun;;
20230708ALWOB;Handgun;;
20230707MDPIP;Handgun;;
20230706OHHUC;;;
20230702MNUNF;Other;BB;Replica Glock bb gun
20230623NMKEA;Handgun;;
20230622ARSOS;;;
20230613PAJUP;Handgun;;
20230612NJRIM;Handgun;;
20230612GAKEC;Handgun;;
20230609DCTUW;;;
20230607VADRA;Handgun;;
20230607WIMIM;;;
20230606VAHUR;Multiple Handguns;;4 handguns recovered from different people at the scene
20230605MIMIW;Handgun;;
20230605MARID;Other;Pellet;
20230602MAWOW;Handgun;;
20230602MDSAE;Handgun;;
20230601TXCAF;Handgun;;
20230531CABAB;Handgun;;
20230528GABEA;Handgun;;
20230526MIHAH;;;
20230526NYMOM;;;
20230525PASAB;Handgun;;
20230525OHBEC;Handgun;;
20230525CABEM;Handgun;;
20230525MNWAM;Handgun;9mm;Glock with 50 round drum mag
20230524NCJHG;Handgun;;
20230524PAOLP;Handgun;9mm;
20230524NCNOD;Rifle;AK-47;
20230523MIYPY;Handgun;;
20230522MASTD;;Service Weapon;
20230522DCKID;Handgun;;
20230521NJCEN;Handgun;;Ghost gun
20230519AZBOP;Rifle;.223 caliber;AR-15 with extra ammo in backpack and lunchbox 
20230519DEFAD;;;
20230519NYPSS;Handgun;;
20230518CACHW;Multiple Unknown;;
20230518WAGAS;Handgun;;
20230517DCTHW;Handgun;;
