Incident_ID;Age;Gender;Race;School_Affiliation;Shooter_Outcome;Shooter_Died;Injury
20240326GATUA;;;;;Fled/Apprehended;No;None
20240326MOCHC;14;Male;;Student;Fled/Apprehended;No;None
20240326NJWEN;;;;;Fled/Escaped;No;None
20240325HIWAW;19;Male;;No Relation;Fled/Apprehended;No;None
20240321NJMAN;;;;;Fled/Escaped;No;None
20240321CADIP;Teen;Male;;Nonstudent;Fled/Escaped;No;None
20240320NCPEP;30;Male;Black;;Apprehended/Killed by SRO;No;None
20240320CONOD;;Male;;;Fled/Escaped;No;None
20240320CONOD;;Male;;;Fled/Escaped;No;None
20240320OHBOC;Teen;Male;;No Relation;Fled/Escaped;No;None
20240320ILBUC;Teen;Male;;No Relation;Fled/Apprehended;No;None
20240319DETHW;;;;;Fled/Escaped;No;None
20240316TNKEC;;;;Nonstudent Using Athletic Facilities/Attending Game;Fled/Escaped;No;None
20240314OHLOD;Teen;Male;;No Relation;Fled/Escaped;No;None
20240313MDFOG;Teen;Male;;No Relation;Fled/Escaped;No;None
20240313WAGAS;;;;;Fled/Escaped;No;None
20240313MDWIB;;;;;Fled/Escaped;No;None
20240311TXCHT;;;;;Surrendered;No;None
20240311MASPS;19;Male;;Nonstudent;Fled/Escaped;No;None
20240307NYPSB;Teen;Male;;;Fled/Escaped;No;None
20240305INHAL;Teen;Male;;No Relation;Fled/Apprehended;No;None
20240304TNBRB;Teen;Male;;Student;Apprehended/Killed by SRO;No;None
20240302INROR;44;Male;White;Nonstudent Using Athletic Facilities/Attending Game;Apprehended/Killed by LE;No;None
20240302MONOK;Teen;;;;Fled/Escaped;No;None
20240302MONOK;Teen;;;;Fled/Escaped;No;None
20240302MONOK;Teen;;;;Fled/Escaped;No;None
20240302MONOK;19;Male;Black;Nonstudent Using Athletic Facilities/Attending Game;Fled/Apprehended;No;None
20240302MONOK;18;Male;Black;Nonstudent Using Athletic Facilities/Attending Game;Fled/Apprehended;No;None
20240301LACAC;19;Male;;;Fled/Apprehended;No;None
20240229FLFIJ;15;Male;;Student;Fled/Apprehended;No;None
20240228NCWAG;38;Male;;No Relation;Apprehended/Killed by LE;No;None
20240228MEWAW;24;Male;;No Relation;Suicide;Yes;Suicide
20240227DESUG;15;Male;;Student;Fled/Apprehended;No;None
20240226TXODO;15;Male;;Student;Fled/Apprehended;No;None
20240223WVBLB;;;;;Fled/Escaped;No;None
20240221TXTRA;12;Male;;Student;Apprehended/Killed by LE;No;None
20240221CODED;;;;No Relation;Fled/Escaped;No;None
20240221TXECE;Adult;Male;;Police Officer/SRO;Law Enforcement;No;None
20240221AZCAT;;;;No Relation;Fled/Escaped;No;None
20240220ALPEP;Adult;;;Nonstudent;Fled/Apprehended;No;None
20240220MISAS;15;Male;;Nonstudent;Fled/Apprehended;No;None
20240219TXPIM;16;Male;;Student;Apprehended/Killed by SRO;No;Wounded
20240215FLSHC;15;Male;;Student;Fled/Apprehended;No;None
20240215FLSHC;11;Male;;Student;Fled/Apprehended;No;None
20240214GABEA;14;Male;;Student;Fled/Apprehended;No;None
20240213TNRAM;36;Female;;Parent;Fled/Apprehended;No;None
20240212OHBEB;19;Male;;Former Student;Fled/Apprehended;No;None
20240212IDCOI;18;Male;White;No Relation;Fled/Apprehended;No;None
20240212IDCOI;19;Male;;No Relation;Fled/Escaped;No;None
20240212CAELC;;;;No Relation;Fled/Escaped;No;None
20240211CAMAB;;;;No Relation;Fled/Escaped;No;None
20240209PACOR;;;;;Fled/Escaped;No;None
20240209GATRE;15;Male;;Student;Fled/Apprehended;No;None
20240208MDBEB;Teen;Male;;Student;Fled/Escaped;No;None
20240208TNMEN;17;Male;;No Relation;Fled/Apprehended;No;None
20240208TNMEN;18;Male;;No Relation;Fled/Apprehended;No;None
20240207ORWIE;17;Male;;No Relation;Fled/Apprehended;No;None
20240207ORWIE;19;Male;;No Relation;Fled/Apprehended;No;None
2024207TXKUH;;;;No Relation;Fled/Escaped;No;None
20240206TNNOC;;;;;Fled/Escaped;No;None
20240205GALUA;Teen;Male;;Student;Apprehended/Killed by LE;No;None
20240202AZLAA;Teen;Male;;Student;Apprehended/Killed by LE;No;None
20240201TNHAN;13;Male;;Student;Fled/Apprehended;No;None
20240201GAMCP;17;Male;;Student;Fled/Apprehended;No;None
20240201GAMCP;17;Male;;Student;Fled/Apprehended;No;None
20240131CADUD;Teen;;;Student;Fled/Escaped;No;None
20240131ILCHC;14;Male;;;Fled/Escaped;No;None
20240131ILCHC;17;Male;;;Fled/Escaped;No;None
20240131ILCHC;Teen;Male;;;Fled/Escaped;No;None
20240130TNBLM;17;Male;;Nonstudent Using Athletic Facilities/Attending Game;Fled/Apprehended;No;None
20240130TNBLM;17;Male;;Nonstudent Using Athletic Facilities/Attending Game;Fled/Apprehended;No;None
20240130INBEB;17;Male;;Student;Fled/Apprehended;No;None
20240130CAGRS;14;Male;;Student;Fled/Apprehended;No;None
20240130ALLEM;16;Female;;Student;Fled/Apprehended;No;None
20240129TXCOA;17;Male;Asian;Student;Fled/Apprehended;No;None
20240126ILINC;;;;;Fled/Escaped;No;None
20240126ILINC;;;;;Fled/Escaped;No;None
20240126ALHUH;30;Female;Middle Eastern;Relative;Fled/Apprehended;No;None
20240124TNWEM;;Male;;;Fled/Escaped;No;None
20240122ILCIC;;Male;;;Fled/Escaped;No;None
20240122ILCIC;;Male;;;Fled/Escaped;No;None
20240118MNCOS;30;Male;;Nonstudent Using Athletic Facilities/Attending Game;Surrendered;No;Wounded
20240117VAWED;24;Male;White;No Relation;Attempted Suicide;No;Wounded
20240117INLIG;Teen;Male;;Student;Apprehended/Killed by LE;No;None
20240117MDCHE;;;;;Fled/Escaped;No;None
20240113INLAF;;;;;Fled/Escaped;No;None
20240112OKHEO;Teen;Male;;Student;Apprehended/Killed by LE;No;None
20240112OHROD;Teen;Male;;Nonstudent Using Athletic Facilities/Attending Game;Fled/Escaped;No;None
20240111FLNOM;15;Male;;Student;Fled/Apprehended;No;None
20240111LABOB;16;Male;;Student;Fled/Apprehended;No;None
20240110WAWHW;Teen;Male;;Student;Apprehended/Killed by SRO;No;None
20240109TXACH;;;;No Relation;Fled/Escaped;No;None
20240108MSSIS;;;;;Fled/Escaped;No;None
20240108CARIR;;;;;Fled/Escaped;No;None
20240104IAPEP;17;Male;;Student;Suicide;Yes;Suicide
20240103TNFRM;;;;No Relation;Fled/Escaped;No;None
20240103VAMAM;14;Male;;Student;Fled/Escaped;No;None
20240101LABAM;Adult;Male;;No Relation;Apprehended/Killed by LE;No;None
20231226RIEME;;;;;Fled/Escaped;No;None
20231220TXEAF;Teen;;;;Fled/Escaped;No;None
20231220NJKIN;;;;;Fled/Escaped;No;None
20231219COLEC;;;;;Fled/Escaped;No;None
20231219TXCYK;Teen;Male;;;Fled/Escaped;No;None
20231218VAORC;;;;;Fled/Escaped;No;None
20231218INEGH;14;Female;;Student;Apprehended/Killed by SRO;No;None
20231215CAPAP;Adult;Male;Hispanic;No Relation;Fled/Escaped;No;None
20231215TNLEN;;Male;;Nonstudent Using Athletic Facilities/Attending Game;Fled/Escaped;No;None
20231213MIDED;15;Male;;Student;Apprehended/Killed by LE;No;None
20231212MICOK;;;;;Fled/Escaped;No;None
20231211NYROQ;Teen;Male;;;Fled/Escaped;No;None
20231208MONOS;37;Male;;No Relation;Fled/Apprehended;No;None
20231208NMATA;16;Male;;Student;Fled/Apprehended;No;None
20231208VAWOW;17;Male;;Student;Fled/Apprehended;No;None
20231208WIBUW;33;Male;;Parent;Fled/Apprehended;No;None
20231206INLAL;13;Male;;Nonstudent Using Athletic Facilities/Attending Game;Fled/Apprehended;No;None
20231205NCVAH;;;;;Fled/Escaped;No;None
20231205TXNOA;Adult;Male;;No Relation;Fled/Apprehended;No;None
20231202VADRA;21;Male;Black;No Relation;Fled/Apprehended;No;None
20231202VADRA;18;Male;Black;No Relation;Fled/Apprehended;No;None
