Incident_ID;Injury;Gender;School_Affiliation;Age;Race
20240326NJWEN;Wounded;Male;Student;17;
20240326NJWEN;Wounded;Male;Student;15;
20240326NJWEN;Non-gunshot Injury;;Student;Teen;
20240325HIWAW;Wounded;Female;No Relation;21;
20240321NJMAN;Fatal;Male;No Relation;Adult;
20240320OHBOC;Wounded;Male;No Relation;18;
20240320ILBUC;Fatal;Male;;14;
20240319DETHW;Wounded;Male;;17;
20240316TNKEC;Wounded;Female;Nonstudent Using Athletic Facilities/Attending Game;Adult;
20240314OHLOD;Fatal;Male;No Relation;16;
20240314OHLOD;Fatal;Male;No Relation;14;
20240313WAGAS;Wounded;Female;Student;17;
20240313MDWIB;Fatal;Female;No Relation;49;
20240311TXCHT;Fatal;;Nonstudent Using Athletic Facilities/Attending Game;1;
20240307NYPSB;Fatal;Male;;17;
20240305INHAL;Wounded;Male;No Relation;14;
20240304TNBRB;Non-gunshot Injury;Female;Student;Teen;
20240302MONOK;Wounded;;Student;Teen;
20240302MONOK;Wounded;;Nonstudent Using Athletic Facilities/Attending Game;Adult;
20240301LACAC;Fatal;Male;Student;18;
20240228NCWAG;Wounded;Male;No Relation;27;
20240226TXODO;Wounded;Female;Student;Teen;
20240221AZCAT;Wounded;Female;No Relation;Adult;
20240220ALPEP;Non-gunshot Injury;Male;Student;Teen;
20240215FLSHC;Non-gunshot Injury;;Student;Child;
20240214GABEA;Wounded;;Student;17;
20240214GABEA;Wounded;;Student;18;
20240214GABEA;Wounded;;Student;17;
20240214GABEA;Wounded;;Student;18;
20240213TNRAM;Non-gunshot Injury;Female;Student;Teen;
20240212OHBEB;Non-gunshot Injury;Male;Student;Teen;
20240212IDCOI;Fatal;;No Relation;;
20240212IDCOI;Wounded;;No Relation;;
20240212IDCOI;Wounded;;No Relation;;
20240212IDCOI;Non-gunshot Injury;;No Relation;;
20240212CAELC;Fatal;Male;No Relation;14;
20240212CAELC;Wounded;Male;No Relation;Teen;
20240211CAMAB;Fatal;Male;No Relation;Adult;
20240209GATRE;Fatal;Male;Student;15;
20240209GATRE;Non-gunshot Injury;Male;Student;Teen;
20240208MDBEB;None;Male;Student;Teen;
20240208TNMEN;Fatal;Male;No Relation;16;
20240208TNMEN;Fatal;Male;No Relation;17;
2024207TXKUH;Fatal;Male;No Relation;Adult;
20240206TNNOC;Wounded;;;;
20240201TNHAN;None;Male;Student;14;
20240201GAMCP;Wounded;Male;Nonstudent;21;
20240201GAMCP;Wounded;;Nonstudent;Teen;
20240131CADUD;Wounded;Female;Student;Teen;
20240131ILCHC;Fatal;Male;Student;16;
20240131ILCHC;Wounded;Male;Student;16;
20240131ILCHC;Wounded;Male;Student;15;
20240130CAGRS;Wounded;Male;Student;17;
20240130ALLEM;Wounded;Male;Student;15;
20240130ALLEM;Wounded;Male;Student;17;
20240129TXCOA;Wounded;Male;Student;Teen;
20240126ILINC;Fatal;Male;Student;16;Black
20240126ILINC;Fatal;Male;Student;17;Black
20240124TNWEM;Fatal;Male;Parent;24;
20240122ILCIC;Fatal;Male;Student;18;Black
20240122ILCIC;Wounded;Male;Relative;27;Black
20240117MDCHE;Fatal;Male;Other Staff;37;Hispanic
20240113INLAF;Fatal;Male;;Child;
20240112OHROD;Fatal;Male;Nonstudent Using Athletic Facilities/Attending Game;20;
20240111FLNOM;Wounded;Male;Student;15;
20240111LABOB;Fatal;Male;Student;14;
20240111LABOB;Wounded;Male;Student;13;
20240109TXACH;Fatal;Male;No Relation;Adult;
20240108MSSIS;Wounded;Male;Student;16;
20240104IAPEP;Fatal;Male;Student;11;
20240104IAPEP;Wounded;;Student;;
20240104IAPEP;Wounded;;Student;;
20240104IAPEP;Wounded;;Student;;
20240104IAPEP;Wounded;;Student;;
20240104IAPEP;Fatal;Male;Other Staff;Adult;56
20240104IAPEP;Wounded;;Other Staff;Adult;
20240104IAPEP;Wounded;;Other Staff;Adult;
20240103VAMAM;Wounded;Female;Student;18;
20231226RIEME;Wounded;Male;Nonstudent Using Athletic Facilities/Attending Game;Adult;
20231220NJKIN;Wounded;;;13;
20231219COLEC;Wounded;;No Relation;;
20231219COLEC;Wounded;;No Relation;;
20231219TXCYK;Fatal;Male;Student;17;
20231208MONOS;Wounded;Female;No Relation;Adult;
20231208VAWOW;Non-gunshot Injury;Male;Student;17;
20231208VAWOW;Non-gunshot Injury;Female;Student;17;
20231208VAWOW;Non-gunshot Injury;;Student;Teen;
20231208NMATA;Fatal;Male;Student;16;
20231205TXNOA;Wounded;Male;Police Officer/SRO;Adult;
20231201OHNOC;Wounded;Male;No Relation;62;
20231201DCKIW;Wounded;Male;Student;17;
20231128TXNOH;Wounded;Male;Student;16;
20231126OHEDD;Wounded;Male;;15;
20231123OHSOC;Wounded;Male;Nonstudent Using Athletic Facilities/Attending Game;30;
20231119ILURU;Wounded;Male;No Relation;21;
20231116OHSTC;Fatal;Male;No Relation;25;
2023113KYJEL;Non-gunshot Injury;Female;Other Staff;Adult;
20231113NJCEN;Wounded;Male;Student;15;
20231110CAVAV;Wounded;Male;Student;Teen;
20231109NVLAL;Fatal;Male;No Relation;Adult;
20231109ALESA;Wounded;Male;Nonstudent Using Athletic Facilities/Attending Game;Teen;
20231109ALESA;Wounded;Male;Nonstudent Using Athletic Facilities/Attending Game;Teen;
20231103INKII;Fatal;Male;Student;15;
20231102ALSMS;None;Male;Student;Teen;
20231102ALSMS;None;Female;Other Staff;Adult;
20231030NCRAR;Non-gunshot Injury;;Other Staff;Adult;
20231030NCRAR;Non-gunshot Injury;;Student;Teen;
20231027TXDUS;Wounded;Female;Nonstudent Using Athletic Facilities/Attending Game;Adult;
20231027LADOD;Fatal;Male;Nonstudent Using Athletic Facilities/Attending Game;Adult;
20231027LADOD;Wounded;Male;Nonstudent Using Athletic Facilities/Attending Game;Adult;
20231027MDCAB;Wounded;Male;Student;Teen;
20231027MIDED;Wounded;Male;Student;15;
20231026CALEL;Wounded;Male;Nonstudent Using Athletic Facilities/Attending Game;Adult;
20231024MDEDW;Wounded;Male;Nonstudent Using Athletic Facilities/Attending Game;Teen;
20231026FLNFJ;Wounded;Female;No Relation;Adult;
20231020FLLIT;Non-gunshot Injury;Male;Student;Teen;
20231019TXNAA;Wounded;Male;Student;Teen;
