"Incident_ID","Date","School","City","State","Summary","Targets"
"20220620ILGRC","2022-06-20","Gresham School of Excellence","Chicago","IL","3 people shot on elementary school field","Both"
"20220613WAMAE","2022-06-13","Mariner High School","Everett","WA","Shots fired in parking lot by teen during after school activities","Victims Targeted"
"20220610ALBYB","2022-06-10","Byhalia High School","Byhalia","MS","Student fired gun in parking lot during dispute","Victims Targeted"
"20220609ALWAG","2022-06-09","Walnut Park Elementary School","Gadsden","AL","Man fatally shot by SRO while trying to break-in to school","null"
"20220608ARLIL","2022-06-08","Little Rock School District Bus","Little Rock","AR","Shots struck school bus driving student home","Both"
"20220607MIPED","2022-06-07","Pershing High School","Detroit","MI","Shots fired in school parking lot after dismissal","null"
"20220605INWEG","2022-06-05","West Side Leadership Academy","Gary","IN","2 teens shot following high school graduation","Both"
"20220601CAULL","2022-06-01","Ulysses S. Grant Senior High School","Los Angeles","CA","Student shot in front of school at dismissal","Victims Targeted"
"20220531LAMON","2022-05-31","Morris Jeff High School","New Orleans","LA","3 people shot following high school graduation","Both"
"20220530CAHEL","2022-05-30","Helix High School","La Mesa","CA","Adult man shot in school parking lot","Victims Targeted"
"20220529ILDAC","2022-05-29","Daniel Webster Public School","Chicago","IL","5 wounded when 97 shots fired in front of school.","Both"
"20220526TXDUA","2022-05-26","Duff Elementary School","Arlington","TX","Man shot himself in the leg while walking toward the school office","Neither"
"20220526SCMEG","2022-05-26","Mevers School of Excellence","Goose Creek","SC","Man fatally shot in parking lot, found by staff member","Victims Targeted"
"20220525ILSTC","2022-05-25","St. Margaret of Scotland School","Chicago","IL","5 windows shot out","Neither"
"20220524WIRIM","2022-05-24","Riverside University High School","Milwaukee","WI","Shot fired during fight inside the school, shooter fled","null"
"20220524TXROU","2022-05-24","Robb Elementary School","Uvalde","TX","Indiscriminate attack at school","Random Shooting"
"20220524DCPOW","2022-05-24","Powell Elementary School","Washington","DC","Teen shot in front of the school","Victims Targeted"
"20220523PASIP","2022-05-23","Simon Gratz High School","Philadelphia","PA","Three teen students shot at dismissal","Both"
"20220520VAPOD","2022-05-20","Potomac High School","Dumfries","VA","Student pointed gun at another student in bathroom, arrested by SRO with loaded weapon","Victims Targeted"
"20220520TNEAC","2022-05-20","East Lake Elementary School","Chattanooga","TN","Man fatally shot on school property","Victims Targeted"
"20220520OHCAC","2022-05-20","Canal Winchester High School","Canal Winchester","OH","Teen shot school bus driver 3 times with BB gun","Victims Targeted"
"20220520ILSOP","2022-05-20","South Elementary School","Pittsfield","IL","Woman hallucinating on meth fired shot near school","Neither"
