case,location,fatalities,injured,total_victims,age_of_shooter,gender,prior_signs_mental_health_issues,mental_health_details,weapons_obtained_legally,year
UNLV shooting,"Las Vegas, Nevada",3,1,4,67,M,-,-,-,2023
Maine bowling alley and bar shootings,"Lewiston, Maine",18,13,31,40,M,yes,"Card reportedly spoke of ""hearing voices"" and had made threats about attacking a National Guard facility, among other behavioral warning signs prior to the attack. He subsequently had undergone a mental health evaluation and was released from the hospital after a two-week stay.",-,2023
Jacksonville Dollar General store shooting,"Jacksonville, Florida",3,0,3,21,M,yes,Palmeter was evaluated under Florida's Baker Act in 2017 (details unknown) and was the subject of a domestic disturbance call in 2016.,yes,2023
Orange County biker bar shooting,"Trabuco Canyon, California",3,6,9,59,M,-,-,-,2023
Philidelphia neighborhood shooting,"Philadelphia, Pennsylvania",5,2,7,40,M,yes,The perpetrator reportedly posted disturbing content on social media,yes,2023
New Mexico neighborhood shooting,"Farmington, New Mexico",3,6,9,18,M,yes,-,yes,2023
Texas outlet mall shooting,"Allen, Texas",8,7,15,33,M,yes,Reportedly had a history of mental health problems that led to the end of his military service,yes,2023
Louisville bank shooting,"Louisville, Kentucky",5,8,13,25,M,yes,-,yes,2023
Nashville Christian school shooting,"Nashville, Tennessee",6,6,12,28,"F (""identifies as transgender"" and ""Audrey Hale is a biological woman who, on a social media profile, used male pronouns,” according to Nashville Metro PD officials)",-,-,yes,2023
Michigan State University shooting,"East Lansing, Michigan",3,5,8,43,M,-,-,yes,2023
Half Moon Bay spree shooting,"Half Moon Bay, California",7,1,8,67,M,-,-,-,2023
LA dance studio mass shooting,"Monterey Park, California",11,10,21,72,M,yes,"According to the LA Times, ""Two law enforcement sources said the suspect recently showed up to the Hemet police station saying his family was trying to poison him.""",-,2023
Virginia Walmart shooting,"Chesapeake, Virginia",6,6,12,31,M,-,-,-,2022
LGBTQ club shooting,"Colorado Springs, Colorado",5,25,30,22,M,yes,Aldrich reportedly had a history of menacing behavior and violent threats.,-,2022
University of Virginia shooting,"Charlottesville, Virginia",3,2,5,22,M,-,-,yes,2022
Raleigh spree shooting,"Hedingham, North Carolina",5,2,7,15,M,-,-,-,2022
Greenwood Park Mall shooting,"Greenwood, Indiana",3,2,5,20,M,-,-,yes,2022
Highland Park July 4 parade shooting,"Highland Park, Illinois",7,46,53,21,M,-,-,yes,2022
Church potluck dinner shooting,"Birmingham, Alabama",3,0,3,70,M,-,-,yes,2022
Concrete company shooting,"Smithsburg, Maryland",3,1,4,23,M,-,-,-,2022
Tulsa medical center shooting,"Tulsa, Oklahoma",4,0,4,45,M,-,-,yes,2022
Robb Elementary School massacre,"Uvalde, Texas",21,17,38,18,M,yes,-,yes,2022
Buffalo supermarket massacre,"Buffalo, New York",10,3,13,18,M,yes,previous threats and a mental health evaluation prompted by state police investigation in June 2021,yes,2022
Sacramento County church shooting,"Sacramento, California",4,0,4,-,M,-,-,-,2022
Oxford High School shooting,"Oxford, Michigan",4,7,11,15,M,-,-,-,2021
