Incident_ID,Month,Day,Year,Date,School,Victims_Killed,Victims_Wounded,Number_Victims,Shooter_Killed,City,State,School_Level,Location,During_Classes,Duration_min,Situation,Targets,Shots_Fired
20240326GATUA,3,26,2024,3/26/2024,Turner County High School,0,0,0,0,Ashburn,GA,High,Basketball Court,,,,,
20240326MOCHC,3,26,2024,3/26/2024,Charleston Junior Senior High School,0,0,0,0,Charleston,MO,High,Football Field/Track,Yes,1.0,Escalation of Dispute,Victims Targeted,1
20240326NJWEN,3,26,2024,3/26/2024,West Side High School,0,2,2,0,Newark,NJ,High,Front of School,Yes,1.0,,,99
20240325HIWAW,3,25,2024,3/25/2024,Wailuku Elementary School,0,1,1,0,Wailuku,HI,Elementary,Parking Lot,No,1.0,Escalation of Dispute,,1
20240321NJMAN,3,21,2024,3/21/2024,Malcolm X Shabazz High School,1,0,1,0,Newark,NJ,High,Football Field/Track,No,1.0,,Victims Targeted,99
20240321CADIP,3,21,2024,3/21/2024,Diamond Ranch High School,0,0,0,0,Pomona,CA,High,Front of School,Yes,1.0,Escalation of Dispute,Neither,0
20240320NCPEP,3,20,2024,3/20/2024,Pembroke Elementary School,0,0,0,0,Pembroke,NC,Elementary,Office,Yes,1.0,Domestic w/ Targeted Victim,Victims Targeted,0
20240320CONOD,3,20,2024,3/20/2024,North High School,0,0,0,0,Denver,CO,High,Parking Lot,Yes,1.0,Drive-by Shooting,Random Shooting,99
20240320OHBOC,3,20,2024,3/20/2024,Bolton Elementary School,0,1,1,0,Cleveland,OH,Elementary,Parking Lot,Yes,1.0,Escalation of Dispute,Victims Targeted,20
20240320ILBUC,3,20,2024,3/20/2024,Burnside Scholastic Academy,1,0,1,0,Chicago,IL,Elementary,Front of School,Yes,1.0,Drive-by Shooting,Victims Targeted,99
20240319DETHW,3,19,2024,3/19/2024,Thomas Edison Charter School,0,1,1,0,Wilmington,DE,High,Office,Yes,1.0,,Victims Targeted,99
20240316TNKEC,3,16,2024,3/16/2024,Kenwood Elementary School,0,1,1,0,Clarksville,TN,Elementary,Basketball Court,No,1.0,,Both,99
20240314OHLOD,3,14,2024,3/14/2024,Louise Troy Elementary School,2,0,2,0,Dayton,OH,Elementary,Field (General),No,1.0,Escalation of Dispute,Victims Targeted,99
20240313MDFOG,3,13,2024,3/13/2024,Fox Chapel Elementary School,0,0,0,0,Germantown,MD,Elementary,Field (General),Yes,1.0,Escalation of Dispute,Victims Targeted,99
20240313WAGAS,3,13,2024,3/13/2024,Garfield High School,0,1,1,0,Seattle,WA,High,Front of School,Yes,1.0,Drive-by Shooting,,99
20240313MDWIB,3,13,2024,3/13/2024,Windsor Hills Elementary/Middle School,1,0,1,0,Baltimore,MD,K-8,Playground,Yes,1.0,,Victims Targeted,99
20240311TXCHT,3,11,2024,3/11/2024,Charter Oak Elementary,1,0,1,0,Temple,TX,Elementary,Playground,No,1.0,Accidental,Neither,1
20240311MASPS,3,11,2024,3/11/2024,Springfield High School of Science and Technology,0,0,0,0,Springfield,MA,High,Hallway,Yes,1.0,Escalation of Dispute,Victims Targeted,99
20240307NYPSB,3,7,2024,3/7/2024,PS 157 Grove Hill,1,0,1,0,Bronx,NY,Elementary,Playground,No,1.0,Escalation of Dispute,Victims Targeted,99
20240305INHAL,3,5,2024,3/5/2024,Harrison Hill Elementary School,0,1,1,0,Lawrence,IN,Elementary,Beside Building,No,1.0,Escalation of Dispute,Victims Targeted,1
20240304TNBRB,3,4,2024,3/4/2024,Brighton High School,0,1,1,0,Brighton,TN,High,Parking Lot,Yes,1.0,Illegal Activity,Victims Targeted,0
20240302INROR,3,2,2024,3/2/2024,Rochester Community High School,0,0,0,0,Rochester,IN,High,Gym,No,1.0,Accidental,Neither,1
20240302MONOK,3,2,2024,3/2/2024,North Kansas City High School,0,2,2,0,Kansas City,MO,High,Beside Building,No,1.0,Escalation of Dispute,Both,50
20240301LACAC,3,1,2024,3/1/2024,Carencro High School,1,0,1,0,Carencro,LA,High,School Bus,Yes,1.0,Murder/Assassination,Victims Targeted,99
20240229FLFIJ,2,29,2024,2/29/2024,First Coast High School,0,0,0,0,Jacksonville,FL,High,Parking Lot,No,1.0,Escalation of Dispute,Victims Targeted,1
20240228NCWAG,2,28,2024,2/28/2024,Wahl-Coates Elementary School,0,1,1,0,Greenville,NC,Elementary,Front of School,Yes,1.0,,Victims Targeted,5
20240228MEWAW,2,28,2024,2/28/2024,Waterville Junior High School,0,0,0,1,Waterville,ME,Middle,Parking Lot (Bus),No,1.0,Suicide/Attempted,Victims Targeted,1
20240227DESUG,2,27,2024,2/27/2024,Sussex Central High,0,0,0,0,Georgetown,DE,High,Parking Lot,No,1.0,Escalation of Dispute,,99
20240226TXODO,2,26,2024,2/26/2024,Odessa High School,0,1,1,0,Odessa,TX,High,Parking Lot,Yes,1.0,Escalation of Dispute,Both,99
20240223WVBLB,2,23,2024,2/23/2024,Bluefield High School,0,0,0,0,Bluefield,WV,High,Parking Lot,No,1.0,Escalation of Dispute,,99
20240221TXTRA,2,21,2024,2/21/2024,Travis Middle School,0,0,0,0,Amarillo,TX,Middle,Bathroom,Yes,1.0,,Victims Targeted,0
20240221CODED,2,21,2024,2/21/2024,Denver Prep Academy,0,0,0,0,Denver,CO,High,Front of School,Yes,1.0,Drive-by Shooting,,99
20240221TXECE,2,21,2024,2/21/2024,Economedes High School ,0,0,0,0,Economedes,TX,High,Parking Lot,Yes,1.0,Officer-Involved Shooting,Victims Targeted,99
20240221AZCAT,2,21,2024,2/21/2024,Catalina Magnet High School,0,1,1,0,Tucson,AZ,High,Front of School,Yes,1.0,,Victims Targeted,
20240220ALPEP,2,20,2024,2/20/2024,Pell City High School,0,1,1,0,Pell City,AL,High,Outside on School Property,Yes,1.0,,Victims Targeted,0
20240220MISAS,2,20,2024,2/20/2024,Saginaw High School,0,0,0,0,Saginaw,MI,High,Parking Lot,Yes,1.0,Escalation of Dispute,Victims Targeted,1
20240219TXPIM,2,19,2024,2/19/2024,Pioneer Technology and Arts Academy,0,0,0,0,Mesquite,TX,6-Dec,Office,Yes,6.0,Anger Over Grade/Suspension/Discipline,Victims Targeted,0
20240215FLSHC,2,15,2024,2/15/2024,Shadeville Elementary School,0,1,1,0,Crawfordville,FL,Elementary,School Bus,Yes,1.0,Intentional Property Damage,,99
20240214GABEA,2,14,2024,2/14/2024,Benjamin E. Mays High School,0,4,4,0,Atlanta,GA,High,Parking Lot,Yes,1.0,Drive-by Shooting,Victims Targeted,99
20240213TNRAM,2,13,2024,2/13/2024,Raleigh Egypt Middle School,0,1,1,0,Memphis,TN,Middle,Parking Lot,Yes,1.0,Escalation of Dispute,Victims Targeted,0
20240212OHBEB,2,12,2024,2/12/2024,Bedford High School,0,1,1,0,Bedford,OH,High,Football Field/Track,Yes,1.0,,Victims Targeted,0
20240212IDCOI,2,12,2024,2/12/2024,Compass Academy,1,2,3,0,Idaho Falls,ID,High,Parking Lot,No,1.0,Escalation of Dispute,Victims Targeted,99
20240212CAELC,2,12,2024,2/12/2024,Ellen Ochoa Learning Center,1,1,2,0,Cudahy,CA,Elementary,Front of School,No,1.0,Drive-by Shooting,Victims Targeted,3
20240211CAMAB,2,11,2024,2/11/2024,Martha Escutia Primary Center,1,0,1,0,Bell,CA,Elementary,Beside Building,No,1.0,Drive-by Shooting,Victims Targeted,99
20240209PACOR,2,9,2024,2/9/2024,Cornwall Terrace Elementary School,0,0,0,0,Reading,PA,Elementary,Beside Building,No,1.0,Intentional Property Damage,Neither,99
20240209GATRE,2,9,2024,2/9/2024,Tri-Cities High School,1,1,2,0,East Point,GA,High,Beside Building,No,1.0,,,99
20240208MDBEB,2,8,2024,2/8/2024,Bethesda Chevy Chase High School,0,0,0,0,Bethesda,MD,High,Front of School (Bus),Yes,1.0,,Victims Targeted,0
20240208TNMEN,2,8,2024,2/8/2024,Meigs Magnet School,2,0,2,0,Nashville,TN,Middle,Parking Lot,No,1.0,Illegal Activity,Victims Targeted,99
20240207ORWIE,2,7,2024,2/7/2024,Willagillespie Elementary School,0,0,0,0,Eugene,OR,Elementary,Parking Lot,Yes,1.0,Drive-by Shooting,,99
2024207TXKUH,2,6,2024,2/6/2024,Kujawa Elementary School,1,0,1,0,Houston,TX,Elementary,Front of School,No,1.0,,Victims Targeted,99
20240206TNNOC,2,6,2024,2/6/2024,Notre Dame High School,0,1,1,0,Chattanooga,TN,High,Outside on School Property,Yes,1.0,,,
20240205GALUA,2,5,2024,2/5/2024,Lucy C. Laney High School,0,0,0,0,Augusta,GA,High,Bathroom,Yes,1.0,,,1
20240202AZLAA,2,2,2024,2/2/2024,La Joya Community High School,0,0,0,0,Avondale,AZ,High,Parking Lot,Yes,1.0,,Neither,0
20240201TNHAN,2,1,2024,2/1/2024,Haynes Middle School,0,0,0,0,Nashville,TN,Middle,Bathroom,Yes,1.0,Escalation of Dispute,Victims Targeted,1
20240201GAMCP,2,1,2024,2/1/2024,McEachern High School,0,2,2,0,Powder Springs,GA,High,Parking Lot,Yes,1.0,Escalation of Dispute,Victims Targeted,99
20240131CADUD,1,31,2024,1/31/2024,Dublin High School,0,1,1,0,Dublin,CA,High,Parking Lot,Yes,1.0,,Victims Targeted,1
20240131ILCHC,1,31,2024,1/31/2024,Chicago Friends School,1,2,3,0,Chicago,IL,High,Front of School,Yes,1.0,Drive-by Shooting,Victims Targeted,99
20240130TNBLM,1,30,2024,1/30/2024,Blackman High School,0,0,0,0,Murfreesboro,TN,High,Parking Lot,No,1.0,Escalation of Dispute,Neither,99
20240130INBEB,1,30,2024,1/30/2024,Beech Grove High School,0,0,0,0,Beech Grove,IN,High,Parking Lot,No,1.0,Escalation of Dispute,,12
20240130CAGRS,1,30,2024,1/30/2024,Grant High School,0,1,1,0,Sacramento,CA,High,Parking Lot,Yes,1.0,Escalation of Dispute,Victims Targeted,1
20240130ALLEM,1,30,2024,1/30/2024,LeFlore High School,0,2,2,0,Mobile,AL,High,Inside School Building,Yes,1.0,Escalation of Dispute,Both,1
20240129TXCOA,1,29,2024,1/29/2024,Connally High School,0,1,1,0,Austin,TX,High,Parking Lot,Yes,1.0,Domestic w/ Targeted Victim,Victims Targeted,1
20240126ILINC,1,26,2024,1/26/2024,Innovations High School,2,0,2,0,Chicago,IL,High,Front of School,Yes,1.0,Drive-by Shooting,Victims Targeted,99
20240126ALHUH,1,26,2024,1/24/2024,Hueytown High School ,0,0,0,0,Hueytown,AL,High,Parking Lot,No,1.0,Escalation of Dispute,Neither,99
20240124TNWEM,1,24,2024,1/24/2024,Weaver Elementary School,1,0,1,0,Memphis,TN,Elementary,Parking Lot,Yes,1.0,,Victims Targeted,99
20240122ILCIC,1,22,2024,1/22/2024,CICS Loomis-Longwood High School,1,1,2,0,Chicago,IL,High,Front of School,No,1.0,Escalation of Dispute,Victims Targeted,99
20240118MNCOS,1,18,2024,1/18/2024,Como Park Elementary School,0,1,1,0,St. Paul,MN,Elementary,Gym,No,1.0,Accidental,Neither,1
20240117VAWED,1,17,2024,1/17/2024,Westwood Middle School,0,0,0,0,Danville,VA,Middle,Parking Lot,No,1.0,Suicide/Attempted,Neither,99
