state,year,month,handgun_unadjusted,long_gun_unadjusted,total_unadjusted,handgun_adjusted,long_gun_adjusted,total_adjusted
United States,2000,1,212853,363663,576517,215226,450197,665423
United States,2000,2,246866,404133,651000,222667,460593,683259
United States,2000,3,250958,415462,666421,220370,446306,666675
United States,2000,4,207197,347333,554530,218607,452306,670914
United States,2000,5,186090,283234,469324,208735,430105,638840
United States,2000,6,187694,292962,480656,215268,448485,663753
United States,2000,7,176866,304477,481342,204670,450060,654730
United States,2000,8,191802,428278,620080,197130,435774,632904
United States,2000,9,190232,546781,737013,199438,478847,678285
United States,2000,10,194835,599370,794206,192266,438138,630404
United States,2000,11,207676,654684,862359,205542,444720,650262
United States,2000,12,263352,722953,986305,213926,436042,649968
United States,2001,1,205576,363997,569572,207538,449444,656982
United States,2001,2,222116,388694,610810,199687,443930,643617
United States,2001,3,228793,420162,648955,200380,448780,649160
United States,2001,4,186495,338370,524865,196234,438317,634551
United States,2001,5,181336,291919,473255,201321,440696,642017
United States,2001,6,175102,299819,474922,202174,461355,663528
United States,2001,7,165099,300447,465546,191605,446448,638053
United States,2001,8,187168,458491,645659,192403,467047,659450
United States,2001,9,231844,594610,826454,245297,523199,768496
United States,2001,10,269452,693554,963006,265662,509403,775065
United States,2001,11,203639,654442,858080,204071,447733,651804
United States,2001,12,234159,740053,974212,191526,444255,635781
United States,2002,1,183515,345034,528549,184779,422059,606838
United States,2002,2,201991,360054,562045,179079,410184,589263
United States,2002,3,203775,393537,597312,177129,417624,594753
United States,2002,4,174858,329559,504417,181619,421613,603232
United States,2002,5,164642,277590,442233,181016,415891,596907
United States,2002,6,150750,260272,411022,174970,403952,578921
United States,2002,7,149601,275822,425423,173985,410836,584821
United States,2002,8,172904,409193,582097,179503,421312,600815
United States,2002,9,159962,460001,619963,172409,409437,581846
United States,2002,10,177503,551983,729486,175967,409132,585099
United States,2002,11,175177,604407,779584,179105,417891,596996
United States,2002,12,217322,685165,902486,178681,407189,585870
United States,2003,1,178751,343311,522062,178265,413550,591815
United States,2003,2,209220,368611,577831,181142,415246,596388
United States,2003,3,212152,397962,610114,181833,418705,600538
United States,2003,4,170414,323803,494217,174261,407872,582132
United States,2003,5,164312,280698,445010,180448,418689,599137
United States,2003,6,151572,261124,412696,176260,406316,582576
United States,2003,7,150543,266255,416798,175220,397512,572732
United States,2003,8,167946,394670,562616,178335,414324,592659
United States,2003,9,164761,453933,618694,180408,410023,590430
United States,2003,10,181687,548476,730164,181730,413198,594928
United States,2003,11,170376,581154,751530,178360,408221,586581
United States,2003,12,223611,710525,934137,184035,414968,599003
United States,2004,1,202180,363442,565622,198874,429078,627952
United States,2004,2,227807,376422,604229,193313,417031,610344
United States,2004,3,224041,390966,615008,189735,408156,597890
United States,2004,4,191797,332422,524219,192094,412027,604121
United States,2004,5,168403,269426,437830,186356,402012,588369
United States,2004,6,164192,267964,432156,189212,414692,603904
United States,2004,7,167345,289742,457087,194876,430645,625522
United States,2004,8,169651,386540,556191,184789,415749,600538
United States,2004,9,170613,466379,636992,189256,428025,617281
United States,2004,10,190621,570670,761291,194707,440357,635064
United States,2004,11,184396,605075,789471,196021,429165,625186
United States,2004,12,240643,750665,991308,196897,432077,628974
United States,2005,1,205108,355460,560568,198238,412721,610959
United States,2005,2,241723,387313,629036,203712,423870,627582
United States,2005,3,242472,405490,647962,203289,417930,621218
United States,2005,4,211102,350894,561997,208864,430978,639842
United States,2005,5,183371,277919,461290,203131,411380,614511
United States,2005,6,181228,272813,454042,206617,415123,621741
United States,2005,7,181525,281990,463516,211389,416435,627824
United States,2005,8,193336,382535,575871,213880,416399,630279
United States,2005,9,221227,463694,684921,247776,432276,680052
United States,2005,10,219294,543946,763239,229768,433633,663400
United States,2005,11,216044,625559,841603,232473,447870,680344
United States,2005,12,290209,816020,1106228,236153,468494,704647
United States,2006,1,247938,412684,660622,235673,469997,705670
United States,2006,2,272300,430385,702684,229184,465199,694384
United States,2006,3,276618,455923,732541,230535,462376,692911
United States,2006,4,229392,362434,591825,225303,442875,668178
United States,2006,5,208041,299919,507960,228602,435909,664511
United States,2006,6,208732,293180,501911,235713,437327,673040
United States,2006,7,196638,290758,487396,228775,424408,653182
United States,2006,8,216786,402744,619530,241879,438973,680852
United States,2006,9,217554,500030,717584,247056,474927,721983
United States,2006,10,222965,539908,762872,240963,442214,683177
United States,2006,11,226272,631353,857625,244979,455413,700392
United States,2006,12,305352,792363,1097715,247106,461826,708931
United States,2007,1,268898,405048,673946,252545,455667,708212
United States,2007,2,300726,414335,715060,252179,442089,694268
United States,2007,3,318525,456938,775463,262922,454133,717055
United States,2007,4,275854,368453,644306,269337,445908,715245
