Incident_ID,Month,Day,Year,Date,School,Victims_Killed,Victims_Wounded,Number_Victims,Shooter_Killed,Quarter,City,State,School_Level,Location,Location_Type,During_Classes,Duration_min,Situation,Targets,Shots_Fired
20240326GATUA,3,26,2024,26-03-24,Turner County High School,0,0,0,0,Spring,Ashburn,GA,High,Basketball Court,Outside on School Property,,,,,
20240326MOCHC,3,26,2024,26-03-24,Charleston Junior Senior High School,0,0,0,0,Spring,Charleston,MO,High,Football Field/Track,Outside on School Property,Yes,1,Escalation of Dispute,Victims Targeted,1
20240326NJWEN,3,26,2024,26-03-24,West Side High School,0,2,2,0,Spring,Newark,NJ,High,Front of School,Outside on School Property,Yes,1,,,99
20240325HIWAW,3,25,2024,25-03-24,Wailuku Elementary School,0,1,1,0,Spring,Wailuku,HI,Elementary,Parking Lot,Outside on School Property,No,1,Escalation of Dispute,,1
20240321NJMAN,3,21,2024,21-03-24,Malcolm X Shabazz High School,1,0,1,0,Spring,Newark,NJ,High,Football Field/Track,Outside on School Property,No,1,,Victims Targeted,99
20240321CADIP,3,21,2024,21-03-24,Diamond Ranch High School,0,0,0,0,Spring,Pomona,CA,High,Front of School,Outside on School Property,Yes,1,Escalation of Dispute,Neither,0
20240320NCPEP,3,20,2024,20-03-24,Pembroke Elementary School,0,0,0,0,Spring,Pembroke,NC,Elementary,Office,Inside School Building,Yes,1,Domestic w/ Targeted Victim,Victims Targeted,0
20240320CONOD,3,20,2024,20-03-24,North High School,0,0,0,0,Spring,Denver,CO,High,Parking Lot,Outside on School Property,Yes,1,Drive-by Shooting,Random Shooting,99
20240320OHBOC,3,20,2024,20-03-24,Bolton Elementary School,0,1,1,0,Spring,Cleveland,OH,Elementary,Parking Lot,Outside on School Property,Yes,1,Escalation of Dispute,Victims Targeted,20
20240320ILBUC,3,20,2024,20-03-24,Burnside Scholastic Academy,1,0,1,0,Spring,Chicago,IL,Elementary,Front of School,Off School Property,Yes,1,Drive-by Shooting,Victims Targeted,99
20240319DETHW,3,19,2024,19-03-24,Thomas Edison Charter School,0,1,1,0,Spring,Wilmington,DE,High,Office,Off School Property,Yes,1,,Victims Targeted,99
20240316TNKEC,3,16,2024,16-03-24,Kenwood Elementary School,0,1,1,0,Spring,Clarksville,TN,Elementary,Basketball Court,Outside on School Property,No,1,,Both,99
20240314OHLOD,3,14,2024,14-03-24,Louise Troy Elementary School,2,0,2,0,Spring,Dayton,OH,Elementary,Field (General),Outside on School Property,No,1,Escalation of Dispute,Victims Targeted,99
20240313MDFOG,3,13,2024,13-03-24,Fox Chapel Elementary School,0,0,0,0,Spring,Germantown,MD,Elementary,Field (General),Outside on School Property,Yes,1,Escalation of Dispute,Victims Targeted,99
20240313WAGAS,3,13,2024,13-03-24,Garfield High School,0,1,1,0,Spring,Seattle,WA,High,Front of School,Outside on School Property,Yes,1,Drive-by Shooting,,99
20240313MDWIB,3,13,2024,13-03-24,Windsor Hills Elementary/Middle School,1,0,1,0,Spring,Baltimore,MD,K-8,Playground,Outside on School Property,Yes,1,,Victims Targeted,99
20240311TXCHT,3,11,2024,11-03-24,Charter Oak Elementary,1,0,1,0,Spring,Temple,TX,Elementary,Playground,Outside on School Property,No,1,Accidental,Neither,1
20240311MASPS,3,11,2024,11-03-24,Springfield High School of Science and Technology,0,0,0,0,Spring,Springfield,MA,High,Hallway,Inside School Building,Yes,1,Escalation of Dispute,Victims Targeted,99
20240307NYPSB,3,7,2024,07-03-24,PS 157 Grove Hill,1,0,1,0,Spring,Bronx,NY,Elementary,Playground,Outside on School Property,No,1,Escalation of Dispute,Victims Targeted,99
20240305INHAL,3,5,2024,05-03-24,Harrison Hill Elementary School,0,1,1,0,Spring,Lawrence,IN,Elementary,Beside Building,Outside on School Property,No,1,Escalation of Dispute,Victims Targeted,1
20240304TNBRB,3,4,2024,04-03-24,Brighton High School,0,1,1,0,Spring,Brighton,TN,High,Parking Lot,Outside on School Property,Yes,1,Illegal Activity,Victims Targeted,0
20240302INROR,3,2,2024,02-03-24,Rochester Community High School,0,0,0,0,Spring,Rochester,IN,High,Gym,Inside School Building,No,1,Accidental,Neither,1
20240302MONOK,3,2,2024,02-03-24,North Kansas City High School,0,2,2,0,Spring,Kansas City,MO,High,Beside Building,Outside on School Property,No,1,Escalation of Dispute,Both,50
20240301LACAC,3,1,2024,01-03-24,Carencro High School,1,0,1,0,Spring,Carencro,LA,High,School Bus,School Bus,Yes,1,Murder/Assassination,Victims Targeted,99
20240229FLFIJ,2,29,2024,29-02-24,First Coast High School,0,0,0,0,Winter,Jacksonville,FL,High,Parking Lot,Outside on School Property,No,1,Escalation of Dispute,Victims Targeted,1
20240228NCWAG,2,28,2024,28-02-24,Wahl-Coates Elementary School,0,1,1,0,Winter,Greenville,NC,Elementary,Front of School,Outside on School Property,Yes,1,,Victims Targeted,5
20240228MEWAW,2,28,2024,28-02-24,Waterville Junior High School,0,0,0,1,Winter,Waterville,ME,Middle,Parking Lot (Bus),Outside on School Property,No,1,Suicide/Attempted,Victims Targeted,1
20240227DESUG,2,27,2024,27-02-24,Sussex Central High,0,0,0,0,Winter,Georgetown,DE,High,Parking Lot,Outside on School Property,No,1,Escalation of Dispute,,99
20240226TXODO,2,26,2024,26-02-24,Odessa High School,0,1,1,0,Winter,Odessa,TX,High,Parking Lot,Outside on School Property,Yes,1,Escalation of Dispute,Both,99
20240223WVBLB,2,23,2024,23-02-24,Bluefield High School,0,0,0,0,Winter,Bluefield,WV,High,Parking Lot,Off School Property,No,1,Escalation of Dispute,,99
20240221TXTRA,2,21,2024,21-02-24,Travis Middle School,0,0,0,0,Winter,Amarillo,TX,Middle,Bathroom,Inside School Building,Yes,1,,Victims Targeted,0
20240221CODED,2,21,2024,21-02-24,Denver Prep Academy,0,0,0,0,Winter,Denver,CO,High,Front of School,Outside on School Property,Yes,1,Drive-by Shooting,,99
20240221TXECE,2,21,2024,21-02-24,Economedes High School ,0,0,0,0,Winter,Economedes,TX,High,Parking Lot,Outside on School Property,Yes,1,Officer-Involved Shooting,Victims Targeted,99
20240221AZCAT,2,21,2024,21-02-24,Catalina Magnet High School,0,1,1,0,Winter,Tucson,AZ,High,Front of School,Outside on School Property,Yes,1,,Victims Targeted,
20240220ALPEP,2,20,2024,20-02-24,Pell City High School,0,1,1,0,Winter,Pell City,AL,High,Outside on School Property,Outside on School Property,Yes,1,,Victims Targeted,0
20240220MISAS,2,20,2024,20-02-24,Saginaw High School,0,0,0,0,Winter,Saginaw,MI,High,Parking Lot,Outside on School Property,Yes,1,Escalation of Dispute,Victims Targeted,1
20240219TXPIM,2,19,2024,19-02-24,Pioneer Technology and Arts Academy,0,0,0,0,Winter,Mesquite,TX,06-dic,Office,Inside School Building,Yes,6,Anger Over Grade/Suspension/Discipline,Victims Targeted,0
20240215FLSHC,2,15,2024,15-02-24,Shadeville Elementary School,0,1,1,0,Winter,Crawfordville,FL,Elementary,School Bus,School Bus,Yes,1,Intentional Property Damage,,99
20240214GABEA,2,14,2024,14-02-24,Benjamin E. Mays High School,0,4,4,0,Winter,Atlanta,GA,High,Parking Lot,Outside on School Property,Yes,1,Drive-by Shooting,Victims Targeted,99
20240213TNRAM,2,13,2024,13-02-24,Raleigh Egypt Middle School,0,1,1,0,Winter,Memphis,TN,Middle,Parking Lot,Outside on School Property,Yes,1,Escalation of Dispute,Victims Targeted,0
20240212OHBEB,2,12,2024,12-02-24,Bedford High School,0,1,1,0,Winter,Bedford,OH,High,Football Field/Track,Outside on School Property,Yes,1,,Victims Targeted,0
20240212IDCOI,2,12,2024,12-02-24,Compass Academy,1,2,3,0,Winter,Idaho Falls,ID,High,Parking Lot,Outside on School Property,No,1,Escalation of Dispute,Victims Targeted,99
20240212CAELC,2,12,2024,12-02-24,Ellen Ochoa Learning Center,1,1,2,0,Winter,Cudahy,CA,Elementary,Front of School,Outside on School Property,No,1,Drive-by Shooting,Victims Targeted,3
20240211CAMAB,2,11,2024,11-02-24,Martha Escutia Primary Center,1,0,1,0,Winter,Bell,CA,Elementary,Beside Building,Outside on School Property,No,1,Drive-by Shooting,Victims Targeted,99
20240209PACOR,2,9,2024,09-02-24,Cornwall Terrace Elementary School,0,0,0,0,Winter,Reading,PA,Elementary,Beside Building,Outside on School Property,No,1,Intentional Property Damage,Neither,99
20240209GATRE,2,9,2024,09-02-24,Tri-Cities High School,1,1,2,0,Winter,East Point,GA,High,Beside Building,Outside on School Property,No,1,,,99
20240208MDBEB,2,8,2024,08-02-24,Bethesda Chevy Chase High School,0,0,0,0,Winter,Bethesda,MD,High,Front of School (Bus),School Bus,Yes,1,,Victims Targeted,0
20240208TNMEN,2,8,2024,08-02-24,Meigs Magnet School,2,0,2,0,Winter,Nashville,TN,Middle,Parking Lot,Outside on School Property,No,1,Illegal Activity,Victims Targeted,99
20240207ORWIE,2,7,2024,07-02-24,Willagillespie Elementary School,0,0,0,0,Winter,Eugene,OR,Elementary,Parking Lot,Outside on School Property,Yes,1,Drive-by Shooting,,99
2024207TXKUH,2,6,2024,06-02-24,Kujawa Elementary School,1,0,1,0,Winter,Houston,TX,Elementary,Front of School,Outside on School Property,No,1,,Victims Targeted,99
20240206TNNOC,2,6,2024,06-02-24,Notre Dame High School,0,1,1,0,Winter,Chattanooga,TN,High,Outside on School Property,Outside on School Property,Yes,1,,,
20240205GALUA,2,5,2024,05-02-24,Lucy C. Laney High School,0,0,0,0,Winter,Augusta,GA,High,Bathroom,Inside School Building,Yes,1,,,1
20240202AZLAA,2,2,2024,02-02-24,La Joya Community High School,0,0,0,0,Winter,Avondale,AZ,High,Parking Lot,Outside on School Property,Yes,1,,Neither,0
20240201TNHAN,2,1,2024,01-02-24,Haynes Middle School,0,0,0,0,Winter,Nashville,TN,Middle,Bathroom,Inside School Building,Yes,1,Escalation of Dispute,Victims Targeted,1
20240201GAMCP,2,1,2024,01-02-24,McEachern High School,0,2,2,0,Winter,Powder Springs,GA,High,Parking Lot,Outside on School Property,Yes,1,Escalation of Dispute,Victims Targeted,99
20240131CADUD,1,31,2024,31-01-24,Dublin High School,0,1,1,0,Winter,Dublin,CA,High,Parking Lot,Outside on School Property,Yes,1,,Victims Targeted,1
20240131ILCHC,1,31,2024,31-01-24,Chicago Friends School,1,2,3,0,Winter,Chicago,IL,High,Front of School,Outside on School Property,Yes,1,Drive-by Shooting,Victims Targeted,99
20240130TNBLM,1,30,2024,30-01-24,Blackman High School,0,0,0,0,Winter,Murfreesboro,TN,High,Parking Lot,Outside on School Property,No,1,Escalation of Dispute,Neither,99
20240130INBEB,1,30,2024,30-01-24,Beech Grove High School,0,0,0,0,Winter,Beech Grove,IN,High,Parking Lot,Outside on School Property,No,1,Escalation of Dispute,,12
20240130CAGRS,1,30,2024,30-01-24,Grant High School,0,1,1,0,Winter,Sacramento,CA,High,Parking Lot,Outside on School Property,Yes,1,Escalation of Dispute,Victims Targeted,1
20240130ALLEM,1,30,2024,30-01-24,LeFlore High School,0,2,2,0,Winter,Mobile,AL,High,Inside School Building,Inside School Building,Yes,1,Escalation of Dispute,Both,1
20240129TXCOA,1,29,2024,29-01-24,Connally High School,0,1,1,0,Winter,Austin,TX,High,Parking Lot,Outside on School Property,Yes,1,Domestic w/ Targeted Victim,Victims Targeted,1
20240126ILINC,1,26,2024,26-01-24,Innovations High School,2,0,2,0,Winter,Chicago,IL,High,Front of School,Outside on School Property,Yes,1,Drive-by Shooting,Victims Targeted,99
20240126ALHUH,1,26,2024,24-01-24,Hueytown High School ,0,0,0,0,Winter,Hueytown,AL,High,Parking Lot,Outside on School Property,No,1,Escalation of Dispute,Neither,99
20240124TNWEM,1,24,2024,24-01-24,Weaver Elementary School,1,0,1,0,Winter,Memphis,TN,Elementary,Parking Lot,Outside on School Property,Yes,1,,Victims Targeted,99
20240122ILCIC,1,22,2024,22-01-24,CICS Loomis-Longwood High School,1,1,2,0,Winter,Chicago,IL,High,Front of School,Outside on School Property,No,1,Escalation of Dispute,Victims Targeted,99
20240118MNCOS,1,18,2024,18-01-24,Como Park Elementary School,0,1,1,0,Winter,St. Paul,MN,Elementary,Gym,Inside School Building,No,1,Accidental,Neither,1
20240117VAWED,1,17,2024,17-01-24,Westwood Middle School,0,0,0,0,Winter,Danville,VA,Middle,Parking Lot,Outside on School Property,No,1,Suicide/Attempted,Neither,99
20240117INLIG,1,17,2024,17-01-24,Lighthouse College Prep Academy,0,0,0,0,Winter,Gary,IN,High,Bathroom,Inside School Building,Yes,1,,,1
20240117MDCHE,1,17,2024,17-01-24,Children's Manor Montessori School,1,0,1,0,Winter,Ellicott City,MD,Elementary,Parking Lot,Outside on School Property,Yes,1,,Victims Targeted,1
20240113INLAF,1,13,2024,13-01-24,Wayne Middle School,1,0,1,0,Winter,Fort Wayne,IN,Middle,Parking Lot,Outside on School Property,No,1,,Victims Targeted,99
20240112OKHEO,1,12,2024,12-01-24,Hefner Middle School,0,0,0,0,Winter,Oklahoma City,OK,Middle,Bathroom,Inside School Building,Yes,1,,,1
20240112OHROD,1,12,2024,12-01-24,Roosevelt Elementary School,1,0,1,0,Winter,Dayton,OH,Elementary,Basketball Court,Outside on School Property,Yes,1,Drive-by Shooting,Victims Targeted,99
20240111FLNOM,1,11,2024,11-01-24,Miami Northwestern Senior High School,0,1,1,0,Winter,Miami,FL,High,Parking Lot,Outside on School Property,No,1,Escalation of Dispute,Victims Targeted,5
20240111LABOB,1,11,2024,11-01-24,Bogalusa High School,1,1,2,0,Winter,Bogalusa,LA,High,Parking Lot,Outside on School Property,No,1,,,99
20240110WAWHW,1,10,2024,10-01-24,White Swan High School,0,0,0,0,Winter,White Swan,WA,High,Outside on School Property,Outside on School Property,Yes,1,,,0
20240109TXACH,1,9,2024,09-01-24,Academy of Accelerated Learning Middle School,1,0,1,0,Winter,Houston,TX,Middle,Front of School,Outside on School Property,Yes,1,,Victims Targeted,99
20240108MSSIS,1,8,2024,08-01-24,Simpson County School Bus,0,1,1,0,Winter,Shivers,MS,High,School Bus,School Bus,Yes,1,,Victims Targeted,1
20240108CARIR,1,8,2024,08-01-24,Richmond High School,0,0,0,0,Winter,Richmond,CA,High,Parking Lot,Outside on School Property,Yes,1,,,99
20240104IAPEP,1,4,2024,04-01-24,Perry Middle and High School,2,6,8,1,Winter,Perry,IA,06-dic,Cafeteria,Inside School Building,Yes,7,Indiscriminate Shooting,,
20240103TNFRM,1,3,2024,03-01-24,Freedom Preparatory Academy Westwood,0,0,0,0,Winter,Memphis,TN,Elementary,Classroom,Both Inside/Outside,Yes,1,,,99
20240103VAMAM,1,3,2024,03-01-24,Manchester High School,0,1,1,0,Winter,Midlothian,VA,High,Parking Lot,Outside on School Property,No,1,Escalation of Dispute,Victims Targeted,
20240101LABAM,1,1,2024,01-01-24,Barkdull Faulk Elementary School,0,0,0,0,Winter,Monroe,LA,Elementary,Beside Building,Outside on School Property,No,1,,,100
20231226RIEME,12,26,2023,26-12-23,Emma G. Whiteknact Elementary School,0,1,1,0,Winter,East Providence,RI,Elementary,Playground,Outside on School Property,No,1,,,1
20231220TXEAF,12,20,2023,20-12-23,Eastern Hills High School,0,0,0,0,Winter,Fort Worth,TX,High,Outside on School Property,Outside on School Property,Yes,1,Escalation of Dispute,,1
20231220NJKIN,12,20,2023,20-12-23,KIPP Life Academy,0,1,1,0,Winter,Newark,NJ,K-12,Front of School,Outside on School Property,Yes,1,,,11
20231219COLEC,12,19,2023,19-12-23,Legacy Peak Elementary School,0,2,2,0,Winter,Colorado Springs,CO,Elementary,Parking Lot,Outside on School Property,No,1,Escalation of Dispute,Victims Targeted,10
20231219TXCYK,12,19,2023,19-12-23,Cypress Lakes High School,1,0,1,0,Winter,Katy,TX,High,Parking Lot,Outside on School Property,Yes,1,,Victims Targeted,99
20231218VAORC,12,18,2023,18-12-23,Orange County Public Schools Bus,0,0,0,0,Winter,Culpeper,VA,,Parking Lot,Outside on School Property,No,1,Indiscriminate Shooting,Neither,3
20231218INEGH,12,18,2023,18-12-23,Eggers Middle School,0,0,0,0,Winter,Hammond,IN,Middle,Hallway,Inside School Building,Yes,1,,Neither,1
20231215CAPAP,12,15,2023,15-12-23,Palo Alto High School,0,0,0,0,Winter,Palo Alto,CA,High,Outside on School Property,Outside on School Property,Yes,1,,Neither,0
20231215TNLEN,12,15,2023,15-12-23,LEAD Brick Church School,0,0,0,0,Winter,Nashville,TN,Middle,Parking Lot,Outside on School Property,No,1,Escalation of Dispute,Victims Targeted,99
20231213MIDED,12,13,2023,13-12-23,Detroit Leadership Academy,0,0,0,0,Winter,Detroit,MI,K-12,Classroom,Inside School Building,Yes,1,Accidental,,2
20231212MICOK,12,12,2023,12-12-23,Comstock High School,0,0,0,0,Winter,Kalamazoo,MI,High,Parking Lot,Outside on School Property,No,1,Escalation of Dispute,Victims Targeted,30
20231211NYROQ,12,11,2023,11-12-23,Robert F. Kennedy Community School,0,0,0,0,Winter,Queens,NY,High,Front of School,Outside on School Property,Yes,1,,,99
20231208MONOS,12,8,2023,08-12-23,Normandy High School,0,1,1,0,Winter,St. Louis,MO,High,Parking Lot,Outside on School Property,No,1,Escalation of Dispute,Victims Targeted,99
20231208NMATA,12,8,2023,08-12-23,Atrisco Heritage Academy,1,0,1,0,Winter,Albuquerque,NM,High,Parking Lot,Outside on School Property,No,1,Accidental,Neither,1
20231208VAWOW,12,8,2023,08-12-23,Woodbridge Senior High School,0,3,3,0,Winter,Woodbridge,VA,High,School Bus,School Bus,Yes,1,Intentional Property Damage,Random Shooting,99
20231208WIBUW,12,8,2023,08-12-23,Butler Middle School,0,0,0,0,Winter,Waukesha,WI,High,Front of School,Outside on School Property,Yes,1,Escalation of Dispute,Neither,0
20231206INLAL,12,6,2023,06-12-23,Lawrence Central High School Wednesday,0,0,0,0,Winter,Lawrence,IN,High,Parking Lot,Outside on School Property,No,1,Escalation of Dispute,Random Shooting,2
20231205NCVAH,12,5,2023,05-12-23,Vance County High School,0,0,0,0,Winter,Hendersonville,NC,High,Parking Lot,Outside on School Property,No,1,Escalation of Dispute,Both,20
20231205TXNOA,12,5,2023,05-12-23,Northeast Early College High School,0,1,1,0,Winter,Austin,TX,High,Parking Lot,Outside on School Property,Yes,1,,Victims Targeted,
20231202VADRA,12,2,2023,02-12-23,Dr. Charles R. Drew Elementary School,0,0,0,0,Winter,Arlington,VA,Elementary,Parking Lot,Outside on School Property,No,,,Victims Targeted,99
