year,month,state,handgun_unadjusted,long_gun_unadjusted,total_unadjusted,handgun_adjusted,long_gun_adjusted,total_adjusted
2000,01,Alabama,8636,11350,19986,7904,13030,20934
2000,01,Alaska,947,1474,2421,1252,2400,3651
2000,01,Arizona,6596,5497,12092,6652,6120,12772
2000,01,Arkansas,4265,8914,13179,4105,11275,15379
2000,01,California,24982,25113,50095,25178,27899,53077
2000,01,Colorado,12159,15027,27186,11992,17523,29515
2000,01,Connecticut,3,3,7,0,0,0
2000,01,Delaware,485,691,1176,499,876,1375
2000,01,District of Columbia,4,0,4,5,0,5
2000,01,Florida,11338,10132,21470,11066,10837,21903
2000,01,Georgia,8881,9986,18867,8291,11870,20160
2000,01,Guam,8,19,26,9,18,27
2000,01,Hawaii,0,0,0,,,
2000,01,Idaho,1729,3101,4830,1830,4264,6094
2000,01,Illinois,7024,7963,14986,6562,8743,15305
2000,01,Indiana,2458,13676,16135,2256,17187,19442
2000,01,Iowa,48,2822,2870,46,3887,3934
2000,01,Kansas,3449,5492,8941,3039,6216,9255
2000,01,Kentucky,8551,11060,19612,7953,13323,21276
2000,01,Louisiana,6089,8177,14266,5909,11365,17274
2000,01,Maine,1104,1808,2913,1188,2978,4166
2000,01,Mariana Islands,0,0,0,,,
2000,01,Maryland,162,3192,3354,145,4088,4233
2000,01,Massachusetts,1168,796,1965,1064,830,1894
2000,01,Michigan,81,11132,11213,78,16129,16207
2000,01,Minnesota,2817,5664,8481,2805,9904,12709
2000,01,Mississippi,5657,7964,13621,5239,10425,15664
2000,01,Missouri,3821,11972,15794,3545,14248,17793
2000,01,Montana,1634,3317,4950,1949,4692,6640
2000,01,Nebraska,48,1898,1946,43,2510,2553
2000,01,Nevada,2586,2220,4806,2591,2538,5130
2000,01,New Hampshire,1267,1759,3026,1268,2239,3508
2000,01,New Jersey,1301,1601,2902,1219,1623,2843
2000,01,New Mexico,2786,4280,7066,2884,4913,7797
2000,01,New York,770,6134,6904,763,8750,9513
2000,01,North Carolina,1529,12649,14178,1519,15033,16551
2000,01,North Dakota,524,1377,1901,524,2331,2855
2000,01,Ohio,10346,12395,22740,10362,15812,26174
2000,01,Oklahoma,5079,8326,13405,4693,9547,14239
2000,01,Oregon,4851,5948,10799,4958,7675,12633
2000,01,Pennsylvania,719,38058,38777,581,43159,43740
2000,01,Puerto Rico,209,68,277,239,97,336
2000,01,Rhode Island,480,471,950,449,485,934
2000,01,South Carolina,4816,5574,10390,4370,6963,11333
2000,01,South Dakota,517,1704,2221,510,2450,2960
2000,01,Tennessee,10659,10452,21111,10214,12070,22284
2000,01,Texas,19552,29361,48914,18423,36112,54534
2000,01,United States,212853,363663,576517,215226,450197,665423
2000,01,Utah,2012,3105,5117,2142,3943,6086
2000,01,Vermont,488,759,1247,594,1305,1898
2000,01,Virgin Islands,0,0,0,,,
2000,01,Virginia,6801,8351,15152,6925,10105,17030
2000,01,Washington,3212,5550,8762,3197,7008,10205
2000,01,West Virginia,3537,6083,9620,3569,8270,11839
2000,01,Wisconsin,3774,7637,11411,3829,11416,15245
2000,01,Wyoming,892,1562,2454,959,1948,2907
2000,02,Alabama,9900,11659,21559,7887,13211,21098
2000,02,Alaska,1170,1788,2958,1327,2599,3927
2000,02,Arizona,7624,6130,13754,6524,6156,12680
2000,02,Arkansas,6163,11419,17582,4430,12721,17151
2000,02,California,25493,24629,50122,25252,29044,54297
2000,02,Colorado,13071,15360,28432,12801,17817,30618
2000,02,Connecticut,0,0,0,0,0,0
2000,02,Delaware,538,711,1248,509,929,1438
2000,02,District of Columbia,1,0,1,1,0,2
